gene_id	accession	gene_start	gene_end	query_id	query_desc
ATCC8482_final|contig00002|2_7	PF01656.29	8899	11265	CbiA  [M=125]	
ATCC8482_final|contig00002|2_7	PF13807.11	8899	11265	GNVR  [M=82]	
ATCC8482_final|contig00002|2_7	PF09140.17	8899	11265	MipZ  [M=262]	
ATCC8482_final|contig00002|2_7	PF02706.20	8899	11265	Wzz  [M=91]	
ATCC8482_final|contig00002|2_10	PF02357.24	13259	13807	NusG  [M=93]	
ATCC8482_final|contig00002|2_12	PF17293.8	14303	15526	Arm-DNA-bind_5  [M=87]	
ATCC8482_final|contig00002|2_12	PF00589.27	14303	15526	Phage_integrase  [M=172]	
ATCC8482_final|contig00002|2_12	PF13102.12	14303	15526	Phage_int_SAM_5  [M=98]	
ATCC8482_final|contig00002|2_15	PF13351.11	18277	18552	DUF4099  [M=82]	
ATCC8482_final|contig00002|2_16	PF01751.28	18625	20331	Toprim  [M=96]	
ATCC8482_final|contig00002|2_23	PF00899.27	24312	25103	ThiF  [M=238]	
ATCC8482_final|contig00002|2_25	PF12728.13	25948	26241	HTH_17  [M=51]	
ATCC8482_final|contig00002|2_27	PF12728.13	26711	26995	HTH_17  [M=51]	
ATCC8482_final|contig00002|2_28	PF12728.13	27003	27302	HTH_17  [M=51]	
ATCC8482_final|contig00002|2_30	PF01610.23	27970	28974	DDE_Tnp_ISL3  [M=240]	
ATCC8482_final|contig00002|2_34	PF00270.35	31076	33946	DEAD  [M=167]	
ATCC8482_final|contig00002|2_34	PF04851.21	31076	33946	ResIII  [M=164]	
ATCC8482_final|contig00002|2_35	PF13173.12	33943	35241	AAA_14  [M=129]	
ATCC8482_final|contig00002|2_37	PF01807.25	36534	37397	Zn_ribbon_DnaG  [M=98]	
ATCC8482_final|contig00002|2_42	PF00702.32	42242	42880	Hydrolase  [M=191]	
ATCC8482_final|contig00002|2_43	PF00132.30	42885	43481	Hexapep  [M=36]	
ATCC8482_final|contig00002|2_44	PF12833.13	43733	44431	HTH_18  [M=80]	
ATCC8482_final|contig00002|2_44	PF00165.29	43733	44431	HTH_AraC  [M=42]	
ATCC8482_final|contig00002|2_45	PF13412.12	44509	45894	HTH_24  [M=48]	
ATCC8482_final|contig00002|2_46	PF12728.13	45939	46286	HTH_17  [M=51]	
ATCC8482_final|contig00002|2_48	PF01609.27	47789	49663	DDE_Tnp_1  [M=200]	
ATCC8482_final|contig00002|2_48	PF05598.16	47789	49663	DUF772  [M=74]	
ATCC8482_final|contig00002|2_52	PF13586.12	52458	53816	DDE_Tnp_1_2  [M=86]	
ATCC8482_final|contig00002|2_52	PF05598.16	52458	53816	DUF772  [M=74]	
ATCC8482_final|contig00002|2_56	PF07638.17	56798	57301	Sigma70_ECF  [M=185]	
ATCC8482_final|contig00002|2_56	PF04542.20	56798	57301	Sigma70_r2  [M=71]	
ATCC8482_final|contig00002|2_56	PF08281.18	56798	57301	Sigma70_r4_2  [M=54]	
ATCC8482_final|contig00002|2_57	PF00593.30	57470	59944	TonB_dep_Rec_b-barrel  [M=436]	
ATCC8482_final|contig00002|2_61	PF00501.34	61972	63777	AMP-binding  [M=384]	
ATCC8482_final|contig00002|2_62	PF04389.22	63991	65055	Peptidase_M28  [M=193]	
ATCC8482_final|contig00002|2_64	PF01073.25	65545	66387	3Beta_HSD  [M=280]	
ATCC8482_final|contig00002|2_64	PF01370.27	65545	66387	Epimerase  [M=240]	
ATCC8482_final|contig00002|2_64	PF16363.11	65545	66387	GDP_Man_Dehyd  [M=332]	
ATCC8482_final|contig00002|2_64	PF13460.12	65545	66387	NAD_binding_10  [M=184]	
ATCC8482_final|contig00002|2_64	PF07993.18	65545	66387	NAD_binding_4  [M=258]	
ATCC8482_final|contig00002|2_64	PF02719.21	65545	66387	Polysacc_synt_2  [M=293]	
ATCC8482_final|contig00002|2_64	PF04321.23	65545	66387	RmlD_sub_bind  [M=287]	
ATCC8482_final|contig00002|2_65	PF00293.34	66395	67285	NUDIX  [M=134]	
ATCC8482_final|contig00002|2_68	PF12833.13	70967	71455	HTH_18  [M=80]	
ATCC8482_final|contig00002|2_68	PF00165.29	70967	71455	HTH_AraC  [M=42]	
ATCC8482_final|contig00002|2_74	PF00270.35	78757	81219	DEAD  [M=167]	
ATCC8482_final|contig00002|2_74	PF00271.37	78757	81219	Helicase_C  [M=110]	
ATCC8482_final|contig00002|2_74	PF04851.21	78757	81219	ResIII  [M=164]	
ATCC8482_final|contig00002|2_75	PF13568.12	81292	81891	OMP_b-brl_2  [M=175]	
ATCC8482_final|contig00002|2_81	PF13533.12	86624	87139	Biotin_lipoyl_2  [M=50]	
ATCC8482_final|contig00002|2_81	PF13437.12	86624	87139	HlyD_3  [M=106]	
ATCC8482_final|contig00002|2_82	PF02222.27	87164	88675	ATP-grasp  [M=171]	
ATCC8482_final|contig00002|2_82	PF02786.22	87164	88675	CPSase_L_D2  [M=211]	
ATCC8482_final|contig00002|2_82	PF07478.18	87164	88675	Dala_Dala_lig_C  [M=204]	
ATCC8482_final|contig00002|2_84	PF13673.13	89282	89767	Acetyltransf_10  [M=128]	
ATCC8482_final|contig00002|2_84	PF13302.13	89282	89767	Acetyltransf_3  [M=138]	
ATCC8482_final|contig00002|2_84	PF13508.13	89282	89767	Acetyltransf_7  [M=84]	
ATCC8482_final|contig00002|2_85	PF13673.13	89872	90303	Acetyltransf_10  [M=128]	
ATCC8482_final|contig00002|2_85	PF13420.13	89872	90303	Acetyltransf_4  [M=155]	
ATCC8482_final|contig00002|2_86	PF00583.31	90321	90842	Acetyltransf_1  [M=116]	
ATCC8482_final|contig00002|2_86	PF13302.13	90321	90842	Acetyltransf_3  [M=138]	
ATCC8482_final|contig00002|2_87	PF02310.24	90858	92495	B12-binding  [M=121]	
ATCC8482_final|contig00002|2_87	PF04055.27	90858	92495	Radical_SAM  [M=166]	
ATCC8482_final|contig00002|2_89	PF01609.27	94338	96095	DDE_Tnp_1  [M=200]	
ATCC8482_final|contig00002|2_89	PF13751.12	94338	96095	DDE_Tnp_1_6  [M=125]	
ATCC8482_final|contig00002|2_89	PF05598.16	94338	96095	DUF772  [M=74]	
ATCC8482_final|contig00002|2_92	PF13715.12	97260	99566	CarbopepD_reg_2  [M=88]	
ATCC8482_final|contig00002|2_92	PF00593.30	97260	99566	TonB_dep_Rec_b-barrel  [M=436]	
ATCC8482_final|contig00002|2_97	PF00589.27	101002	101604	Phage_integrase  [M=172]	
ATCC8482_final|contig00002|2_98	PF17761.7	101630	102769	DUF1016_N  [M=137]	
ATCC8482_final|contig00002|2_98	PF06250.17	101630	102769	YhcG_C  [M=157]	
ATCC8482_final|contig00002|2_108	PF01807.25	108836	109792	Zn_ribbon_DnaG  [M=98]	
ATCC8482_final|contig00002|2_112	PF00483.29	113794	114837	NTP_transferase  [M=245]	
ATCC8482_final|contig00002|2_115	PF00578.27	116050	117285	AhpC-TSA  [M=124]	
ATCC8482_final|contig00002|2_115	PF14289.11	116050	117285	DUF4369  [M=91]	
ATCC8482_final|contig00002|2_115	PF08534.16	116050	117285	Redoxin  [M=148]	
ATCC8482_final|contig00002|2_115	PF13905.12	116050	117285	Thioredoxin_8  [M=94]	
ATCC8482_final|contig00002|2_117	PF01609.27	119642	121399	DDE_Tnp_1  [M=200]	
ATCC8482_final|contig00002|2_117	PF13751.12	119642	121399	DDE_Tnp_1_6  [M=125]	
ATCC8482_final|contig00002|2_117	PF05598.16	119642	121399	DUF772  [M=74]	
ATCC8482_final|contig00002|2_122	PF13586.12	124308	125666	DDE_Tnp_1_2  [M=86]	
ATCC8482_final|contig00002|2_122	PF05598.16	124308	125666	DUF772  [M=74]	
ATCC8482_final|contig00002|2_127	PF00037.32	132598	133506	Fer4  [M=24]	
ATCC8482_final|contig00002|2_127	PF13237.11	132598	133506	Fer4_10  [M=53]	
ATCC8482_final|contig00002|2_127	PF13484.11	132598	133506	Fer4_16  [M=66]	
ATCC8482_final|contig00002|2_127	PF12797.12	132598	133506	Fer4_2  [M=22]	
ATCC8482_final|contig00002|2_127	PF12837.12	132598	133506	Fer4_6  [M=24]	
ATCC8482_final|contig00002|2_127	PF12838.12	132598	133506	Fer4_7  [M=52]	
ATCC8482_final|contig00002|2_127	PF13187.11	132598	133506	Fer4_9  [M=52]	
ATCC8482_final|contig00002|2_127	PF04055.27	132598	133506	Radical_SAM  [M=166]	
ATCC8482_final|contig00002|2_130	PF01569.27	135689	136345	PAP2  [M=130]	
ATCC8482_final|contig00002|2_137	PF01551.28	141439	142773	Peptidase_M23  [M=96]	
ATCC8482_final|contig00002|2_139	PF00515.34	143603	145411	TPR_1  [M=34]	
ATCC8482_final|contig00002|2_139	PF13414.12	143603	145411	TPR_11  [M=42]	
ATCC8482_final|contig00002|2_139	PF13424.12	143603	145411	TPR_12  [M=77]	
ATCC8482_final|contig00002|2_139	PF13432.12	143603	145411	TPR_16  [M=65]	
ATCC8482_final|contig00002|2_139	PF07719.23	143603	145411	TPR_2  [M=34]	
ATCC8482_final|contig00002|2_139	PF13176.12	143603	145411	TPR_7  [M=36]	
ATCC8482_final|contig00002|2_139	PF13181.12	143603	145411	TPR_8  [M=34]	
ATCC8482_final|contig00002|2_141	PF01966.28	146117	147409	HD  [M=116]	
ATCC8482_final|contig00002|2_143	PF01553.26	148502	149341	Acyltransferase  [M=132]	
ATCC8482_final|contig00002|2_150	PF00953.26	155113	156381	Glycos_transf_4  [M=160]	
ATCC8482_final|contig00002|2_151	PF02875.26	156391	157725	Mur_ligase_C  [M=127]	
ATCC8482_final|contig00002|2_154	PF02875.26	160331	161707	Mur_ligase_C  [M=127]	
ATCC8482_final|contig00002|2_154	PF08245.18	160331	161707	Mur_ligase_M  [M=200]	
ATCC8482_final|contig00002|2_161	PF02518.31	168085	170049	HATPase_c  [M=111]	
ATCC8482_final|contig00002|2_164	PF07690.21	173129	174484	MFS_1  [M=347]	
ATCC8482_final|contig00002|2_166	PF12833.13	175189	175674	HTH_18  [M=80]	
ATCC8482_final|contig00002|2_166	PF00165.29	175189	175674	HTH_AraC  [M=42]	
ATCC8482_final|contig00002|2_173	PF13715.12	185130	188135	CarbopepD_reg_2  [M=88]	
ATCC8482_final|contig00002|2_173	PF13620.12	185130	188135	CarboxypepD_reg  [M=82]	
ATCC8482_final|contig00002|2_173	PF07715.20	185130	188135	Plug  [M=107]	
ATCC8482_final|contig00002|2_173	PF00593.30	185130	188135	TonB_dep_Rec_b-barrel  [M=436]	
ATCC8482_final|contig00002|2_174	PF14322.12	188148	189755	SusD-like_3  [M=191]	
ATCC8482_final|contig00002|2_174	PF07980.17	188148	189755	SusD_RagB  [M=297]	
ATCC8482_final|contig00002|2_178	PF01663.27	193002	194516	Phosphodiest  [M=342]	
ATCC8482_final|contig00002|2_181	PF07690.21	197853	199166	MFS_1  [M=347]	
ATCC8482_final|contig00002|2_183	PF00515.34	200016	201641	TPR_1  [M=34]	
ATCC8482_final|contig00002|2_183	PF13374.12	200016	201641	TPR_10  [M=42]	
ATCC8482_final|contig00002|2_183	PF07719.23	200016	201641	TPR_2  [M=34]	
ATCC8482_final|contig00002|2_184	PF13715.12	201865	204993	CarbopepD_reg_2  [M=88]	
ATCC8482_final|contig00002|2_184	PF13620.12	201865	204993	CarboxypepD_reg  [M=82]	
ATCC8482_final|contig00002|2_184	PF07715.20	201865	204993	Plug  [M=107]	
ATCC8482_final|contig00002|2_184	PF00593.30	201865	204993	TonB_dep_Rec_b-barrel  [M=436]	
ATCC8482_final|contig00002|2_185	PF14322.12	205014	206531	SusD-like_3  [M=191]	
ATCC8482_final|contig00002|2_185	PF07980.17	205014	206531	SusD_RagB  [M=297]	
ATCC8482_final|contig00002|2_188	PF00703.27	207540	210716	Glyco_hydro_2  [M=109]	
ATCC8482_final|contig00002|2_188	PF22666.2	207540	210716	Glyco_hydro_2_N2  [M=167]	
ATCC8482_final|contig00002|2_190	PF00583.31	212827	213249	Acetyltransf_1  [M=116]	
ATCC8482_final|contig00002|2_190	PF13673.13	212827	213249	Acetyltransf_10  [M=128]	
ATCC8482_final|contig00002|2_190	PF13508.13	212827	213249	Acetyltransf_7  [M=84]	
ATCC8482_final|contig00002|2_191	PF01609.27	214083	215840	DDE_Tnp_1  [M=200]	
ATCC8482_final|contig00002|2_191	PF13751.12	214083	215840	DDE_Tnp_1_6  [M=125]	
ATCC8482_final|contig00002|2_191	PF05598.16	214083	215840	DUF772  [M=74]	
ATCC8482_final|contig00002|2_194	PF00005.33	218524	219276	ABC_tran  [M=137]	
ATCC8482_final|contig00002|2_197	PF00009.33	221405	224416	GTP_EFTU  [M=188]	
ATCC8482_final|contig00002|2_197	PF03144.31	221405	224416	GTP_EFTU_D2  [M=73]	
ATCC8482_final|contig00002|2_197	PF01926.29	221405	224416	MMR_HSR1  [M=113]	
ATCC8482_final|contig00002|2_198	PF00575.29	224458	225714	S1  [M=74]	
ATCC8482_final|contig00002|2_201	PF07690.21	226703	227884	MFS_1  [M=347]	
ATCC8482_final|contig00002|2_201	PF00083.30	226703	227884	Sugar_tr  [M=452]	
ATCC8482_final|contig00002|2_203	PF04055.27	228346	229416	Radical_SAM  [M=166]	
ATCC8482_final|contig00002|2_207	PF12833.13	233261	233902	HTH_18  [M=80]	
ATCC8482_final|contig00002|2_207	PF00165.29	233261	233902	HTH_AraC  [M=42]	
ATCC8482_final|contig00002|2_210	PF00326.27	235551	236861	Peptidase_S9  [M=213]	
ATCC8482_final|contig00002|2_214	PF04542.20	239091	239600	Sigma70_r2  [M=71]	
ATCC8482_final|contig00002|2_214	PF04545.22	239091	239600	Sigma70_r4  [M=50]	
ATCC8482_final|contig00002|2_217	PF00004.35	242376	242903	AAA  [M=131]	
ATCC8482_final|contig00002|2_220	PF13181.12	247181	250063	TPR_8  [M=34]	
ATCC8482_final|contig00002|2_222	PF00571.33	250753	252039	CBS  [M=57]	
ATCC8482_final|contig00002|2_230	PF03050.20	256091	257656	DDE_Tnp_IS66  [M=284]	
ATCC8482_final|contig00002|2_232	PF05272.17	258257	259507	VapE-like_dom  [M=217]	
ATCC8482_final|contig00002|2_235	PF00117.34	261799	263556	GATase  [M=190]	
ATCC8482_final|contig00002|2_238	PF14905.12	265105	267177	OMP_b-brl_3  [M=408]	
ATCC8482_final|contig00002|2_239	PF02518.31	267229	268767	HATPase_c  [M=111]	
ATCC8482_final|contig00002|2_239	PF00512.31	267229	268767	HisKA  [M=66]	
ATCC8482_final|contig00002|2_243	PF13412.12	271329	271676	HTH_24  [M=48]	
ATCC8482_final|contig00002|2_244	PF13098.12	271714	272193	Thioredoxin_2  [M=104]	
ATCC8482_final|contig00002|2_247	PF13505.12	273047	273694	OMP_b-brl  [M=175]	
ATCC8482_final|contig00002|2_249	PF07470.19	274261	275559	Glyco_hydro_88  [M=352]	
ATCC8482_final|contig00002|2_251	PF00702.32	276438	279068	Hydrolase  [M=191]	
ATCC8482_final|contig00002|2_251	PF08282.18	276438	279068	Hydrolase_3  [M=255]	
ATCC8482_final|contig00002|2_252	PF13419.12	279096	279710	HAD_2  [M=178]	
ATCC8482_final|contig00002|2_252	PF00702.32	279096	279710	Hydrolase  [M=191]	
ATCC8482_final|contig00002|2_260	PF01381.28	284349	284534	HTH_3  [M=55]	
ATCC8482_final|contig00002|2_261	PF04851.21	284796	286670	ResIII  [M=164]	
ATCC8482_final|contig00002|2_265	PF01943.22	290489	291934	Polysacc_synt  [M=274]	
ATCC8482_final|contig00002|2_265	PF14667.11	290489	291934	Polysacc_synt_C  [M=142]	
ATCC8482_final|contig00002|2_266	PF00004.35	291938	292993	AAA  [M=131]	
ATCC8482_final|contig00002|2_266	PF07728.20	291938	292993	AAA_5  [M=139]	
ATCC8482_final|contig00002|2_266	PF01078.27	291938	292993	Mg_chelatase  [M=207]	
ATCC8482_final|contig00002|2_267	PF17293.8	293093	294211	Arm-DNA-bind_5  [M=87]	
ATCC8482_final|contig00002|2_267	PF00589.27	293093	294211	Phage_integrase  [M=172]	
ATCC8482_final|contig00002|2_267	PF13102.12	293093	294211	Phage_int_SAM_5  [M=98]	
ATCC8482_final|contig00002|2_269	PF01609.27	297516	299171	DDE_Tnp_1  [M=200]	
ATCC8482_final|contig00002|2_269	PF13751.12	297516	299171	DDE_Tnp_1_6  [M=125]	
ATCC8482_final|contig00002|2_270	PF12990.12	300502	302115	DUF3874  [M=71]	
ATCC8482_final|contig00002|2_271	PF08842.16	302243	303559	Mfa2  [M=277]	
ATCC8482_final|contig00002|2_273	PF09820.15	304849	306459	AAA-ATPase_like  [M=279]	
ATCC8482_final|contig00002|2_273	PF08011.17	304849	306459	PDDEXK_9  [M=105]	
ATCC8482_final|contig00002|2_277	PF16378.10	307928	311053	DUF4988  [M=183]	
ATCC8482_final|contig00002|2_278	PF12833.13	311102	311593	HTH_18  [M=80]	
ATCC8482_final|contig00002|2_278	PF00165.29	311102	311593	HTH_AraC  [M=42]	
ATCC8482_final|contig00002|2_279	PF00037.32	312186	312965	Fer4  [M=24]	
ATCC8482_final|contig00002|2_279	PF12838.12	312186	312965	Fer4_7  [M=52]	
ATCC8482_final|contig00002|2_279	PF13187.11	312186	312965	Fer4_9  [M=52]	
ATCC8482_final|contig00002|2_283	PF00294.29	317706	318626	PfkB  [M=302]	
ATCC8482_final|contig00002|2_287	PF14498.12	321315	323771	Glyco_hyd_65N_2  [M=234]	
ATCC8482_final|contig00002|2_288	PF02518.31	323977	327864	HATPase_c  [M=111]	
ATCC8482_final|contig00002|2_288	PF12833.13	323977	327864	HTH_18  [M=80]	
ATCC8482_final|contig00002|2_288	PF00165.29	323977	327864	HTH_AraC  [M=42]	
ATCC8482_final|contig00002|2_288	PF07494.17	323977	327864	Reg_prop  [M=24]	
ATCC8482_final|contig00002|2_288	PF00072.30	323977	327864	Response_reg  [M=111]	
ATCC8482_final|contig00002|2_288	PF07495.19	323977	327864	Y_Y_Y  [M=65]	
ATCC8482_final|contig00002|2_289	PF01663.27	327921	329501	Phosphodiest  [M=342]	
ATCC8482_final|contig00002|2_289	PF00884.28	327921	329501	Sulfatase  [M=301]	
ATCC8482_final|contig00002|2_290	PF14322.12	329535	331376	SusD-like_3  [M=191]	
ATCC8482_final|contig00002|2_290	PF07980.17	329535	331376	SusD_RagB  [M=297]	
ATCC8482_final|contig00002|2_291	PF13715.12	331389	334631	CarbopepD_reg_2  [M=88]	
ATCC8482_final|contig00002|2_291	PF13620.12	331389	334631	CarboxypepD_reg  [M=82]	
ATCC8482_final|contig00002|2_291	PF07715.20	331389	334631	Plug  [M=107]	
ATCC8482_final|contig00002|2_291	PF00593.30	331389	334631	TonB_dep_Rec_b-barrel  [M=436]	
ATCC8482_final|contig00002|2_292	PF13586.12	334913	336271	DDE_Tnp_1_2  [M=86]	
ATCC8482_final|contig00002|2_292	PF05598.16	334913	336271	DUF772  [M=74]	
ATCC8482_final|contig00002|2_293	PF01261.30	336537	337712	AP_endonuc_2  [M=249]	
ATCC8482_final|contig00002|2_294	PF00106.31	337752	338564	adh_short  [M=195]	
ATCC8482_final|contig00002|2_294	PF13561.12	337752	338564	adh_short_C2  [M=236]	
ATCC8482_final|contig00002|2_294	PF01370.27	337752	338564	Epimerase  [M=240]	
ATCC8482_final|contig00002|2_296	PF10502.14	339225	340088	Peptidase_S26  [M=168]	
ATCC8482_final|contig00002|2_300	PF00149.33	343816	344817	Metallophos  [M=191]	
ATCC8482_final|contig00002|2_301	PF12741.13	344843	346327	SusD-like  [M=495]	
ATCC8482_final|contig00002|2_301	PF12771.13	344843	346327	SusD-like_2  [M=415]	
ATCC8482_final|contig00002|2_301	PF14322.12	344843	346327	SusD-like_3  [M=191]	
ATCC8482_final|contig00002|2_302	PF13715.12	346342	349488	CarbopepD_reg_2  [M=88]	
ATCC8482_final|contig00002|2_302	PF13620.12	346342	349488	CarboxypepD_reg  [M=82]	
ATCC8482_final|contig00002|2_302	PF07715.20	346342	349488	Plug  [M=107]	
ATCC8482_final|contig00002|2_302	PF00593.30	346342	349488	TonB_dep_Rec_b-barrel  [M=436]	
ATCC8482_final|contig00002|2_305	PF05272.17	351618	352874	VapE-like_dom  [M=217]	
ATCC8482_final|contig00002|2_307	PF03061.28	354370	354777	4HBT  [M=79]	
ATCC8482_final|contig00002|2_309	PF01120.23	355970	357853	Alpha_L_fucos  [M=345]	
ATCC8482_final|contig00002|2_311	PF12099.14	358448	359815	DUF3575  [M=177]	
ATCC8482_final|contig00002|2_314	PF12833.13	362321	363181	HTH_18  [M=80]	
ATCC8482_final|contig00002|2_314	PF00165.29	362321	363181	HTH_AraC  [M=42]	
ATCC8482_final|contig00002|2_315	PF13237.11	363246	364001	Fer4_10  [M=53]	
ATCC8482_final|contig00002|2_315	PF12838.12	363246	364001	Fer4_7  [M=52]	
ATCC8482_final|contig00002|2_315	PF13187.11	363246	364001	Fer4_9  [M=52]	
ATCC8482_final|contig00002|2_319	PF00595.29	367607	369208	PDZ  [M=81]	
ATCC8482_final|contig00002|2_321	PF02518.31	369684	371561	HATPase_c  [M=111]	
ATCC8482_final|contig00002|2_322	PF00583.31	371592	372728	Acetyltransf_1  [M=116]	
ATCC8482_final|contig00002|2_324	PF00149.33	373829	374800	Metallophos  [M=191]	
ATCC8482_final|contig00002|2_325	PF13715.12	374811	377579	CarbopepD_reg_2  [M=88]	
ATCC8482_final|contig00002|2_325	PF07715.20	374811	377579	Plug  [M=107]	
ATCC8482_final|contig00002|2_325	PF00593.30	374811	377579	TonB_dep_Rec_b-barrel  [M=436]	
ATCC8482_final|contig00002|2_328	PF03050.20	380967	382532	DDE_Tnp_IS66  [M=284]	
ATCC8482_final|contig00002|2_332	PF12833.13	384306	384800	HTH_18  [M=80]	
ATCC8482_final|contig00002|2_332	PF00165.29	384306	384800	HTH_AraC  [M=42]	
ATCC8482_final|contig00002|2_333	PF00589.27	385612	386550	Phage_integrase  [M=172]	
ATCC8482_final|contig00002|2_333	PF13102.12	385612	386550	Phage_int_SAM_5  [M=98]	
ATCC8482_final|contig00002|2_341	PF00890.30	394265	396136	FAD_binding_2  [M=414]	
ATCC8482_final|contig00002|2_343	PF14520.12	396950	398770	HHH_5  [M=57]	
ATCC8482_final|contig00002|2_351	PF02421.24	405724	406827	FeoB_N  [M=156]	
ATCC8482_final|contig00002|2_351	PF01926.29	405724	406827	MMR_HSR1  [M=113]	
ATCC8482_final|contig00002|2_355	PF13568.12	409567	410265	OMP_b-brl_2  [M=175]	
